symbol,date,hour,openbid,highbid,lowbid,closebid,openask,highask,lowask,closeask,totalticks
EUR/CAD,2017-07-02,19,1.47996,1.48164,1.47996,1.48058,1.48129,1.48273,1.48129,1.4821,212
EUR/CAD,2017-07-02,20,1.48058,1.48176,1.48028,1.48053,1.4821,1.48293,1.48165,1.48181,298
EUR/CAD,2017-07-02,21,1.48053,1.4813,1.48023,1.48129,1.48181,1.48208,1.48141,1.48201,595
EUR/CAD,2017-07-02,22,1.48129,1.48199,1.48106,1.48199,1.48201,1.48231,1.48137,1.48231,1910
EUR/CAD,2017-07-02,23,1.48199,1.48226,1.48158,1.48218,1.48231,1.48246,1.48177,1.4824,2307
EUR/CAD,2017-07-03,0,1.48218,1.48227,1.48113,1.48137,1.4824,1.48249,1.4813,1.48157,3147
EUR/CAD,2017-07-03,1,1.48137,1.4817,1.48101,1.48157,1.48157,1.48182,1.48114,1.48178,5519
EUR/CAD,2017-07-03,2,1.48157,1.4821,1.48106,1.48192,1.48178,1.48219,1.48126,1.48212,3686
EUR/CAD,2017-07-03,3,1.48192,1.48226,1.48132,1.48146,1.48212,1.48243,1.48143,1.48156,5601
EUR/CAD,2017-07-03,4,1.48146,1.48316,1.48138,1.48288,1.48156,1.48331,1.48149,1.48304,4524
EUR/CAD,2017-07-03,5,1.48288,1.48306,1.48214,1.48214,1.48304,1.48322,1.48233,1.48233,3960
EUR/CAD,2017-07-03,6,1.48214,1.4826,1.48148,1.48188,1.48233,1.48277,1.4816,1.48201,9105
EUR/CAD,2017-07-03,7,1.48188,1.48188,1.47931,1.47939,1.48201,1.48203,1.4794,1.47952,16002
EUR/CAD,2017-07-03,8,1.47939,1.47959,1.47711,1.47767,1.47952,1.47973,1.4772,1.47779,14477
EUR/CAD,2017-07-03,9,1.47767,1.4792,1.47713,1.47728,1.47779,1.47927,1.4772,1.47737,13196
EUR/CAD,2017-07-03,10,1.47728,1.47815,1.47664,1.47704,1.47737,1.47823,1.47675,1.47714,12156
EUR/CAD,2017-07-03,11,1.47704,1.47722,1.47471,1.47531,1.47714,1.47727,1.47478,1.47542,15373
EUR/CAD,2017-07-03,12,1.47531,1.47602,1.47405,1.47471,1.47542,1.4761,1.47414,1.47484,13952
EUR/CAD,2017-07-03,13,1.47471,1.47555,1.47364,1.47527,1.47484,1.47568,1.47376,1.47553,14657
EUR/CAD,2017-07-03,14,1.47527,1.4773,1.47388,1.47704,1.47553,1.4774,1.4746,1.47715,23060
EUR/CAD,2017-07-03,15,1.47704,1.47825,1.47603,1.47779,1.47715,1.47832,1.47606,1.47782,17548
EUR/CAD,2017-07-03,16,1.47779,1.4784,1.47623,1.47629,1.47782,1.47848,1.47636,1.47642,10493
EUR/CAD,2017-07-03,17,1.47629,1.47823,1.47623,1.4772,1.47642,1.47835,1.4764,1.47726,5295
EUR/CAD,2017-07-03,18,1.4772,1.47752,1.47662,1.47711,1.47726,1.47765,1.47668,1.47722,3694
EUR/CAD,2017-07-03,19,1.47711,1.47792,1.47708,1.47777,1.47722,1.47804,1.47718,1.4779,2582
EUR/CAD,2017-07-03,20,1.47777,1.4783,1.47643,1.47643,1.4779,1.4785,1.47783,1.4783,2576
EUR/CAD,2017-07-03,21,1.47643,1.47873,1.47643,1.47842,1.4783,1.4793,1.47822,1.47899,10868
EUR/CAD,2017-07-03,22,1.47842,1.47862,1.47776,1.47805,1.47899,1.47899,1.47814,1.47844,2291
EUR/CAD,2017-07-03,23,1.47805,1.47853,1.47707,1.47733,1.47844,1.47874,1.47726,1.47752,1752
EUR/CAD,2017-07-04,0,1.47733,1.47801,1.47665,1.4773,1.47752,1.4782,1.47685,1.47744,5220
EUR/CAD,2017-07-04,1,1.4773,1.47775,1.47687,1.47744,1.47744,1.47784,1.47708,1.47762,8346
EUR/CAD,2017-07-04,2,1.47744,1.47764,1.47617,1.47672,1.47762,1.47775,1.47631,1.47689,7212
EUR/CAD,2017-07-04,3,1.47672,1.47732,1.47647,1.47722,1.47689,1.47749,1.47666,1.47743,4385
EUR/CAD,2017-07-04,4,1.47722,1.4784,1.47653,1.4768,1.47743,1.47859,1.47669,1.47694,5781
EUR/CAD,2017-07-04,5,1.4768,1.47718,1.47349,1.47564,1.47694,1.47734,1.47369,1.47586,11629
EUR/CAD,2017-07-04,6,1.47564,1.47617,1.47451,1.47562,1.47586,1.47636,1.47463,1.47577,14153
EUR/CAD,2017-07-04,7,1.47562,1.47666,1.47402,1.47657,1.47577,1.47677,1.47415,1.4767,14409
EUR/CAD,2017-07-04,8,1.47657,1.47682,1.47473,1.47586,1.4767,1.47693,1.47481,1.476,14529
EUR/CAD,2017-07-04,9,1.47586,1.47702,1.47528,1.47615,1.476,1.47715,1.47537,1.47628,10223
EUR/CAD,2017-07-04,10,1.47615,1.47615,1.47373,1.47417,1.47628,1.47628,1.47385,1.47429,6930
EUR/CAD,2017-07-04,11,1.47417,1.47421,1.4721,1.4727,1.47429,1.47431,1.47215,1.47276,10532
EUR/CAD,2017-07-04,12,1.4727,1.47323,1.47058,1.47208,1.47276,1.47333,1.47071,1.4722,8931
EUR/CAD,2017-07-04,13,1.47208,1.47303,1.46732,1.46756,1.4722,1.47311,1.46742,1.46763,12332
EUR/CAD,2017-07-04,14,1.46756,1.46783,1.46561,1.46628,1.46763,1.46797,1.46574,1.46641,11722
EUR/CAD,2017-07-04,15,1.46628,1.46737,1.46522,1.4668,1.46641,1.4675,1.46531,1.46695,8563
EUR/CAD,2017-07-04,16,1.4668,1.46814,1.46585,1.46798,1.46695,1.46839,1.46597,1.46813,3985
EUR/CAD,2017-07-04,17,1.46798,1.46855,1.46739,1.46846,1.46813,1.46877,1.46756,1.46862,2390
EUR/CAD,2017-07-04,18,1.46846,1.46869,1.46766,1.4681,1.46862,1.46885,1.46782,1.4682,1935
EUR/CAD,2017-07-04,19,1.4681,1.4687,1.46648,1.46697,1.4682,1.46911,1.46689,1.46714,2692
EUR/CAD,2017-07-04,20,1.46697,1.4681,1.46648,1.46671,1.46714,1.46897,1.46699,1.46873,4417
EUR/CAD,2017-07-04,21,1.46671,1.46789,1.46664,1.46751,1.46873,1.46877,1.4674,1.46816,8178
EUR/CAD,2017-07-04,22,1.46751,1.46902,1.46736,1.46845,1.46816,1.46938,1.4678,1.46881,1927
EUR/CAD,2017-07-04,23,1.46845,1.46909,1.46831,1.46901,1.46881,1.4693,1.46852,1.46922,1601
EUR/CAD,2017-07-05,0,1.46901,1.46948,1.46855,1.46916,1.46922,1.46965,1.46873,1.46935,3500
EUR/CAD,2017-07-05,1,1.46916,1.47064,1.46912,1.4705,1.46935,1.47084,1.4693,1.47062,4186
EUR/CAD,2017-07-05,2,1.4705,1.4706,1.46973,1.46985,1.47062,1.47082,1.46991,1.47,3878
EUR/CAD,2017-07-05,3,1.46985,1.46985,1.46919,1.46937,1.47,1.47001,1.46933,1.46948,2902
EUR/CAD,2017-07-05,4,1.46937,1.46942,1.46884,1.46899,1.46948,1.46952,1.46896,1.46912,4118
EUR/CAD,2017-07-05,5,1.46899,1.46943,1.46861,1.46931,1.46912,1.46963,1.46878,1.46953,3713
EUR/CAD,2017-07-05,6,1.46931,1.47072,1.46916,1.46952,1.46953,1.47084,1.46926,1.46963,9612
EUR/CAD,2017-07-05,7,1.46952,1.47083,1.46947,1.46993,1.46963,1.47096,1.46958,1.47005,13819
EUR/CAD,2017-07-05,8,1.46993,1.47114,1.46799,1.47041,1.47005,1.47127,1.46806,1.47055,15249
EUR/CAD,2017-07-05,9,1.47041,1.47061,1.46602,1.46699,1.47055,1.47073,1.46614,1.46707,21504
EUR/CAD,2017-07-05,10,1.46699,1.46745,1.46596,1.46717,1.46707,1.46752,1.46602,1.46729,14831
EUR/CAD,2017-07-05,11,1.46717,1.46859,1.46575,1.4682,1.46729,1.46869,1.46586,1.46832,14286
EUR/CAD,2017-07-05,12,1.4682,1.46882,1.4671,1.46827,1.46832,1.4689,1.46719,1.46837,16695
EUR/CAD,2017-07-05,13,1.46827,1.47125,1.46735,1.47075,1.46837,1.47141,1.46744,1.47101,20760
EUR/CAD,2017-07-05,14,1.47075,1.47459,1.47068,1.47303,1.47101,1.47468,1.47091,1.47312,29577
EUR/CAD,2017-07-05,15,1.47303,1.47386,1.47246,1.47344,1.47312,1.47395,1.47256,1.47357,15603
EUR/CAD,2017-07-05,16,1.47344,1.47357,1.47148,1.47221,1.47357,1.4737,1.47154,1.4723,11292
EUR/CAD,2017-07-05,17,1.47221,1.47274,1.47111,1.47229,1.4723,1.47281,1.47121,1.47243,10491
EUR/CAD,2017-07-05,18,1.47229,1.47351,1.46977,1.47152,1.47243,1.47413,1.46986,1.47162,21034
EUR/CAD,2017-07-05,19,1.47152,1.47222,1.47077,1.4708,1.47162,1.47234,1.47087,1.4709,11331
EUR/CAD,2017-07-05,20,1.4708,1.47171,1.47007,1.47063,1.4709,1.47184,1.47065,1.47082,6277
EUR/CAD,2017-07-05,21,1.47063,1.47087,1.47014,1.47054,1.47082,1.47126,1.47052,1.47086,8256
EUR/CAD,2017-07-05,22,1.47054,1.47112,1.47042,1.47091,1.47086,1.47143,1.47073,1.47125,3494
EUR/CAD,2017-07-05,23,1.47091,1.47091,1.47023,1.47049,1.47125,1.47125,1.47041,1.47071,2099
EUR/CAD,2017-07-06,0,1.47049,1.47149,1.46973,1.47071,1.47071,1.4717,1.46992,1.47091,4834
EUR/CAD,2017-07-06,1,1.47071,1.47152,1.47037,1.47081,1.47091,1.47168,1.47052,1.47098,6437
EUR/CAD,2017-07-06,2,1.47081,1.47131,1.47048,1.47064,1.47098,1.47145,1.47067,1.47085,5067
EUR/CAD,2017-07-06,3,1.47064,1.47121,1.4705,1.47064,1.47085,1.47138,1.47068,1.47083,2929
EUR/CAD,2017-07-06,4,1.47064,1.47106,1.47024,1.47103,1.47083,1.47119,1.47045,1.47117,2583
EUR/CAD,2017-07-06,5,1.47103,1.47171,1.47067,1.47067,1.47117,1.47181,1.47082,1.47093,4884
EUR/CAD,2017-07-06,6,1.47067,1.47083,1.46909,1.47066,1.47093,1.47096,1.46919,1.47076,8846
EUR/CAD,2017-07-06,7,1.47066,1.47263,1.46986,1.47079,1.47076,1.47275,1.46992,1.47087,13909
EUR/CAD,2017-07-06,8,1.47079,1.4712,1.46827,1.46857,1.47087,1.47127,1.46832,1.46863,14210
EUR/CAD,2017-07-06,9,1.46857,1.47144,1.46741,1.47078,1.46863,1.47156,1.46755,1.47087,19189
EUR/CAD,2017-07-06,10,1.47078,1.47139,1.46933,1.46938,1.47087,1.47147,1.46944,1.46949,16022
EUR/CAD,2017-07-06,11,1.46938,1.47294,1.46937,1.47257,1.46949,1.47305,1.46947,1.47267,16545
EUR/CAD,2017-07-06,12,1.47257,1.47487,1.4716,1.47222,1.47267,1.47499,1.47176,1.47233,21280
EUR/CAD,2017-07-06,13,1.47222,1.47564,1.4712,1.47504,1.47233,1.47574,1.4713,1.47529,21171
EUR/CAD,2017-07-06,14,1.47504,1.47639,1.47409,1.47631,1.47529,1.4765,1.47417,1.47645,23175
EUR/CAD,2017-07-06,15,1.47631,1.47631,1.47355,1.47522,1.47645,1.47645,1.47364,1.47528,20811
EUR/CAD,2017-07-06,16,1.47522,1.47801,1.4752,1.47796,1.47528,1.4781,1.47526,1.47803,15105
EUR/CAD,2017-07-06,17,1.47796,1.48102,1.47727,1.4809,1.47803,1.48113,1.47739,1.48098,12999
EUR/CAD,2017-07-06,18,1.4809,1.48103,1.47915,1.48018,1.48098,1.48109,1.47924,1.48029,9828
EUR/CAD,2017-07-06,19,1.48018,1.48106,1.47958,1.48092,1.48029,1.48116,1.47969,1.48101,10861
EUR/CAD,2017-07-06,20,1.48092,1.48266,1.48062,1.48243,1.48101,1.48292,1.48066,1.48259,8688
EUR/CAD,2017-07-06,21,1.48243,1.48243,1.48151,1.48211,1.48259,1.48346,1.48193,1.48258,4464
EUR/CAD,2017-07-06,22,1.48211,1.48237,1.48156,1.4821,1.48258,1.48264,1.48184,1.48236,4531
EUR/CAD,2017-07-06,23,1.4821,1.48286,1.48169,1.48233,1.48236,1.48303,1.48209,1.48253,2741
EUR/CAD,2017-07-07,0,1.48233,1.4825,1.48113,1.4812,1.48253,1.4827,1.48133,1.4814,5249
EUR/CAD,2017-07-07,1,1.4812,1.48246,1.48119,1.48148,1.4814,1.48265,1.48139,1.48166,8241
EUR/CAD,2017-07-07,2,1.48148,1.48264,1.48142,1.48202,1.48166,1.48283,1.48161,1.4821,7068
EUR/CAD,2017-07-07,3,1.48202,1.48272,1.48189,1.48245,1.4821,1.4829,1.482,1.48259,7336
EUR/CAD,2017-07-07,4,1.48245,1.48321,1.48234,1.48308,1.48259,1.48329,1.48253,1.48317,5854
EUR/CAD,2017-07-07,5,1.48308,1.4833,1.48186,1.48189,1.48317,1.48339,1.48205,1.48205,7103
EUR/CAD,2017-07-07,6,1.48189,1.48279,1.48148,1.48167,1.48205,1.48286,1.48157,1.48181,10214
EUR/CAD,2017-07-07,7,1.48167,1.48353,1.48159,1.48267,1.48181,1.4837,1.48168,1.48274,16973
EUR/CAD,2017-07-07,8,1.48267,1.48349,1.48173,1.4831,1.48274,1.48357,1.4818,1.48317,19236
EUR/CAD,2017-07-07,9,1.4831,1.48354,1.48126,1.48155,1.48317,1.48363,1.48135,1.48163,19085
EUR/CAD,2017-07-07,10,1.48155,1.48161,1.47993,1.48146,1.48163,1.48168,1.47999,1.48154,16961
EUR/CAD,2017-07-07,11,1.48146,1.48249,1.48082,1.48103,1.48154,1.4826,1.48094,1.48115,18780
EUR/CAD,2017-07-07,12,1.48103,1.48131,1.47067,1.47108,1.48115,1.48156,1.47081,1.47118,34511
EUR/CAD,2017-07-07,13,1.47108,1.47123,1.46785,1.4702,1.47118,1.47135,1.46799,1.47034,26914
EUR/CAD,2017-07-07,14,1.4702,1.47068,1.46703,1.46844,1.47034,1.47078,1.46715,1.46842,28551
EUR/CAD,2017-07-07,15,1.46844,1.46869,1.46506,1.46658,1.46842,1.46875,1.46519,1.4667,21269
EUR/CAD,2017-07-07,16,1.46658,1.46773,1.46617,1.46713,1.4667,1.4678,1.46628,1.46722,12571
EUR/CAD,2017-07-07,17,1.46713,1.46855,1.46691,1.46698,1.46722,1.46866,1.46703,1.4671,11532
EUR/CAD,2017-07-07,18,1.46698,1.46902,1.46689,1.46869,1.4671,1.46914,1.46695,1.46876,8944
EUR/CAD,2017-07-07,19,1.46869,1.46972,1.46833,1.46972,1.46876,1.46983,1.46841,1.46983,9749
EUR/CAD,2017-07-07,20,1.46972,1.46972,1.46732,1.46789,1.46983,1.46984,1.46787,1.46859,3441
EUR/CAD,2017-07-09,20,1.46789,1.46789,1.46786,1.46786,1.46859,1.46951,1.46859,1.46951,1
EUR/CAD,2017-07-09,21,1.46786,1.46894,1.46743,1.4688,1.46951,1.46982,1.46875,1.46925,1306
EUR/CAD,2017-07-09,22,1.4688,1.46917,1.46651,1.46886,1.46925,1.46964,1.468,1.46916,2273
EUR/CAD,2017-07-09,23,1.46886,1.46912,1.46822,1.46892,1.46916,1.46933,1.46844,1.46911,1941
EUR/CAD,2017-07-10,0,1.46892,1.46916,1.46811,1.46879,1.46911,1.46924,1.46833,1.46888,5569
EUR/CAD,2017-07-10,1,1.46879,1.46941,1.46803,1.46919,1.46888,1.46951,1.46822,1.46929,6451
EUR/CAD,2017-07-10,2,1.46919,1.46932,1.46867,1.46895,1.46929,1.46943,1.46885,1.46914,4276
EUR/CAD,2017-07-10,3,1.46895,1.46923,1.46863,1.46917,1.46914,1.4694,1.46878,1.46933,3990
EUR/CAD,2017-07-10,4,1.46917,1.46979,1.4691,1.46968,1.46933,1.46992,1.46927,1.46982,7245
EUR/CAD,2017-07-10,5,1.46968,1.46982,1.46895,1.46982,1.46982,1.47003,1.46904,1.47003,7256
EUR/CAD,2017-07-10,6,1.46982,1.47029,1.46892,1.46898,1.47003,1.47036,1.46896,1.46904,16304
EUR/CAD,2017-07-10,7,1.46898,1.47199,1.46897,1.47165,1.46904,1.47206,1.46903,1.47173,18172
EUR/CAD,2017-07-10,8,1.47165,1.47171,1.47003,1.47078,1.47173,1.47177,1.47008,1.47085,18406
EUR/CAD,2017-07-10,9,1.47078,1.4714,1.47011,1.4708,1.47085,1.47147,1.47019,1.47089,17309
EUR/CAD,2017-07-10,10,1.4708,1.47258,1.47041,1.47254,1.47089,1.47266,1.47049,1.47259,11097
EUR/CAD,2017-07-10,11,1.47254,1.47293,1.47114,1.47165,1.47259,1.47301,1.4712,1.47172,19124
EUR/CAD,2017-07-10,12,1.47165,1.47175,1.46907,1.47045,1.47172,1.47182,1.46915,1.47051,18731
EUR/CAD,2017-07-10,13,1.47045,1.47049,1.46744,1.46838,1.47051,1.47055,1.46748,1.46845,16157
EUR/CAD,2017-07-10,14,1.46838,1.47054,1.4663,1.46636,1.46845,1.47063,1.46633,1.46646,22330
EUR/CAD,2017-07-10,15,1.46636,1.46931,1.46568,1.46809,1.46646,1.46938,1.46579,1.46815,18575
EUR/CAD,2017-07-10,16,1.46809,1.4689,1.46765,1.46782,1.46815,1.46904,1.46771,1.46792,9626
EUR/CAD,2017-07-10,17,1.46782,1.46895,1.46772,1.46831,1.46792,1.46901,1.46779,1.46832,8758
EUR/CAD,2017-07-10,18,1.46831,1.46954,1.46789,1.46853,1.46832,1.46956,1.46801,1.46863,9434
EUR/CAD,2017-07-10,19,1.46853,1.46929,1.46825,1.46925,1.46863,1.46935,1.46832,1.46931,8406
EUR/CAD,2017-07-10,20,1.46925,1.46967,1.46858,1.4692,1.46931,1.46994,1.46864,1.46951,5428
EUR/CAD,2017-07-10,21,1.4692,1.4694,1.46857,1.46884,1.46951,1.46967,1.46887,1.46934,5206
EUR/CAD,2017-07-10,22,1.46884,1.46911,1.46844,1.46887,1.46934,1.46942,1.46879,1.46919,3939
EUR/CAD,2017-07-10,23,1.46887,1.46945,1.4688,1.46941,1.46919,1.46968,1.46902,1.46963,1766
EUR/CAD,2017-07-11,0,1.46941,1.47,1.46846,1.46971,1.46963,1.47021,1.46867,1.46992,3786
EUR/CAD,2017-07-11,1,1.46971,1.47019,1.46887,1.46897,1.46992,1.47031,1.46897,1.46909,8626
EUR/CAD,2017-07-11,2,1.46897,1.46905,1.46811,1.46879,1.46909,1.46916,1.4683,1.4689,6619
EUR/CAD,2017-07-11,3,1.46879,1.46978,1.46864,1.46951,1.4689,1.46986,1.46875,1.46959,3886
EUR/CAD,2017-07-11,4,1.46951,1.4696,1.4687,1.46896,1.46959,1.4697,1.46888,1.46914,3359
EUR/CAD,2017-07-11,5,1.46896,1.46946,1.46858,1.46882,1.46914,1.46956,1.46873,1.46905,8999
EUR/CAD,2017-07-11,6,1.46882,1.46925,1.46727,1.46823,1.46905,1.46942,1.46737,1.46835,10255
EUR/CAD,2017-07-11,7,1.46823,1.47103,1.46766,1.47076,1.46835,1.47108,1.46772,1.47086,16970
EUR/CAD,2017-07-11,8,1.47076,1.47199,1.47049,1.47171,1.47086,1.47209,1.47059,1.47177,14472
EUR/CAD,2017-07-11,9,1.47171,1.47218,1.47043,1.47215,1.47177,1.47228,1.47052,1.47227,11669
EUR/CAD,2017-07-11,10,1.47215,1.47237,1.4712,1.47199,1.47227,1.47244,1.47126,1.4721,11628
EUR/CAD,2017-07-11,11,1.47199,1.47257,1.47104,1.47184,1.4721,1.47267,1.47112,1.47189,11388
EUR/CAD,2017-07-11,12,1.47184,1.47472,1.47145,1.47327,1.47189,1.4748,1.4715,1.4733,19633
EUR/CAD,2017-07-11,13,1.47327,1.4734,1.4719,1.47279,1.4733,1.47348,1.47198,1.47289,18940
EUR/CAD,2017-07-11,14,1.47279,1.47688,1.47135,1.47542,1.47289,1.47694,1.47142,1.47547,23945
EUR/CAD,2017-07-11,15,1.47542,1.47939,1.47445,1.47699,1.47547,1.47947,1.47452,1.47704,26723
EUR/CAD,2017-07-11,16,1.47699,1.47954,1.47653,1.47893,1.47704,1.47963,1.47661,1.47906,17734
EUR/CAD,2017-07-11,17,1.47893,1.48235,1.47885,1.48118,1.47906,1.48244,1.47895,1.48128,15094
EUR/CAD,2017-07-11,18,1.48118,1.48306,1.48104,1.4823,1.48128,1.48313,1.48102,1.48236,12609
EUR/CAD,2017-07-11,19,1.4823,1.48235,1.48085,1.48138,1.48236,1.48245,1.48096,1.48146,10033
EUR/CAD,2017-07-11,20,1.48138,1.48198,1.48047,1.48068,1.48146,1.48205,1.48071,1.48096,7457
EUR/CAD,2017-07-11,21,1.48068,1.48163,1.48044,1.48113,1.48096,1.482,1.48096,1.48148,6955
EUR/CAD,2017-07-11,22,1.48113,1.48145,1.48056,1.48122,1.48148,1.48176,1.48078,1.48155,5234
EUR/CAD,2017-07-11,23,1.48122,1.48135,1.48064,1.48126,1.48155,1.48155,1.4808,1.48143,2537
EUR/CAD,2017-07-12,0,1.48126,1.48174,1.48092,1.48121,1.48143,1.4819,1.48108,1.48143,5277
EUR/CAD,2017-07-12,1,1.48121,1.4814,1.48034,1.48063,1.48143,1.48162,1.48054,1.48074,5673
EUR/CAD,2017-07-12,2,1.48063,1.48174,1.48049,1.48154,1.48074,1.4819,1.48057,1.48169,6401
EUR/CAD,2017-07-12,3,1.48154,1.48161,1.48052,1.48096,1.48169,1.48175,1.48066,1.48117,3785
EUR/CAD,2017-07-12,4,1.48096,1.48212,1.48066,1.48162,1.48117,1.48235,1.48078,1.48182,3149
EUR/CAD,2017-07-12,5,1.48162,1.482,1.47992,1.4802,1.48182,1.48208,1.48013,1.48044,5912
EUR/CAD,2017-07-12,6,1.4802,1.48074,1.47876,1.47904,1.48044,1.48094,1.47887,1.47911,14835
EUR/CAD,2017-07-12,7,1.47904,1.47983,1.47796,1.47813,1.47911,1.47993,1.47808,1.47827,12841
EUR/CAD,2017-07-12,8,1.47813,1.48115,1.47727,1.48083,1.47827,1.48124,1.47742,1.48091,11599
EUR/CAD,2017-07-12,9,1.48083,1.48142,1.47882,1.48089,1.48091,1.48151,1.47894,1.48102,11900
EUR/CAD,2017-07-12,10,1.48089,1.48114,1.47932,1.47996,1.48102,1.48126,1.47946,1.48007,12246
EUR/CAD,2017-07-12,11,1.47996,1.4826,1.47993,1.48131,1.48007,1.48271,1.48006,1.4814,16187
EUR/CAD,2017-07-12,12,1.48131,1.48252,1.47814,1.48092,1.4814,1.48267,1.47866,1.48101,26674
EUR/CAD,2017-07-12,13,1.48092,1.48128,1.47337,1.4739,1.48101,1.48142,1.47364,1.47443,34595
EUR/CAD,2017-07-12,14,1.4739,1.4742,1.4605,1.46422,1.47443,1.47466,1.46073,1.46432,39390
EUR/CAD,2017-07-12,15,1.46422,1.46518,1.45647,1.45689,1.46432,1.46532,1.45653,1.45701,24442
EUR/CAD,2017-07-12,16,1.45689,1.45722,1.44932,1.45298,1.45701,1.4573,1.44956,1.45307,22584
EUR/CAD,2017-07-12,17,1.45298,1.45299,1.448,1.45089,1.45307,1.45312,1.44812,1.45094,18411
EUR/CAD,2017-07-12,18,1.45089,1.45273,1.45053,1.45196,1.45094,1.45275,1.45065,1.45203,15166
EUR/CAD,2017-07-12,19,1.45196,1.45502,1.45192,1.45449,1.45203,1.45508,1.45201,1.4546,12714
EUR/CAD,2017-07-12,20,1.45449,1.45553,1.45416,1.45502,1.4546,1.45565,1.4543,1.45521,7008
EUR/CAD,2017-07-12,21,1.45502,1.45538,1.45424,1.45454,1.45521,1.45629,1.45465,1.45492,3844
EUR/CAD,2017-07-12,22,1.45454,1.45638,1.45397,1.45603,1.45492,1.45668,1.45439,1.45635,4168
EUR/CAD,2017-07-12,23,1.45603,1.45697,1.45562,1.45563,1.45635,1.45718,1.45586,1.45586,1840
EUR/CAD,2017-07-13,0,1.45563,1.45691,1.45471,1.45641,1.45586,1.45711,1.45494,1.45658,4626
EUR/CAD,2017-07-13,1,1.45641,1.45749,1.45635,1.45722,1.45658,1.45772,1.45654,1.45744,3697
EUR/CAD,2017-07-13,2,1.45722,1.45783,1.45632,1.45669,1.45744,1.45796,1.4565,1.4568,4878
EUR/CAD,2017-07-13,3,1.45669,1.4571,1.45614,1.45669,1.4568,1.4572,1.45631,1.45682,6744
EUR/CAD,2017-07-13,4,1.45669,1.45764,1.45666,1.45753,1.45682,1.45783,1.45678,1.45772,4581
EUR/CAD,2017-07-13,5,1.45753,1.45886,1.45687,1.45864,1.45772,1.45895,1.45706,1.45886,6047
EUR/CAD,2017-07-13,6,1.45864,1.45946,1.45715,1.45804,1.45886,1.45953,1.45721,1.45811,14957
EUR/CAD,2017-07-13,7,1.45804,1.45867,1.45502,1.45642,1.45811,1.45876,1.45513,1.45652,17382
EUR/CAD,2017-07-13,8,1.45642,1.45707,1.45242,1.45295,1.45652,1.45715,1.45254,1.45308,17713
EUR/CAD,2017-07-13,9,1.45295,1.45318,1.44973,1.4512,1.45308,1.45328,1.44984,1.45129,18259
EUR/CAD,2017-07-13,10,1.4512,1.45247,1.44824,1.45027,1.45129,1.45256,1.44843,1.45035,19259
EUR/CAD,2017-07-13,11,1.45027,1.4565,1.44875,1.45634,1.45035,1.45653,1.44886,1.45636,34881
EUR/CAD,2017-07-13,12,1.45634,1.45798,1.45485,1.45695,1.45636,1.45811,1.45499,1.45701,23341
EUR/CAD,2017-07-13,13,1.45695,1.45733,1.45405,1.45421,1.45701,1.45743,1.45417,1.45426,21809
EUR/CAD,2017-07-13,14,1.45421,1.45596,1.45301,1.45349,1.45426,1.45602,1.45304,1.45355,28472
EUR/CAD,2017-07-13,15,1.45349,1.45377,1.44993,1.45018,1.45355,1.45387,1.45002,1.45024,21446
EUR/CAD,2017-07-13,16,1.45018,1.45123,1.44922,1.45071,1.45024,1.4513,1.44933,1.45079,11608
EUR/CAD,2017-07-13,17,1.45071,1.45203,1.45048,1.45129,1.45079,1.45211,1.45054,1.45135,11685
EUR/CAD,2017-07-13,18,1.45129,1.4518,1.45071,1.45127,1.45135,1.45192,1.45082,1.45139,10886
EUR/CAD,2017-07-13,19,1.45127,1.45218,1.45105,1.45125,1.45139,1.45224,1.45111,1.45138,6635
EUR/CAD,2017-07-13,20,1.45125,1.45185,1.44973,1.45005,1.45138,1.45192,1.45005,1.45036,6780
EUR/CAD,2017-07-13,21,1.45005,1.4512,1.44957,1.4508,1.45036,1.45157,1.45036,1.45115,491
EUR/CAD,2017-07-13,22,1.4508,1.45122,1.4502,1.45063,1.45115,1.4515,1.45079,1.45079,2500
EUR/CAD,2017-07-13,23,1.45063,1.45198,1.45056,1.4514,1.45079,1.45216,1.45079,1.45156,2662
EUR/CAD,2017-07-14,0,1.4514,1.45188,1.45014,1.45175,1.45156,1.45205,1.45036,1.45194,3872
EUR/CAD,2017-07-14,1,1.45175,1.45216,1.4511,1.45161,1.45194,1.45226,1.4512,1.45178,5276
EUR/CAD,2017-07-14,2,1.45161,1.45225,1.4511,1.45197,1.45178,1.45244,1.45121,1.45206,4275
EUR/CAD,2017-07-14,3,1.45197,1.45254,1.45191,1.45246,1.45206,1.45266,1.45201,1.45266,3298
EUR/CAD,2017-07-14,4,1.45246,1.45275,1.45182,1.45196,1.45266,1.45285,1.45199,1.45206,5135
EUR/CAD,2017-07-14,5,1.45196,1.45246,1.45163,1.45204,1.45206,1.45264,1.45174,1.45216,5084
EUR/CAD,2017-07-14,6,1.45204,1.45347,1.45134,1.45334,1.45216,1.45355,1.45145,1.45341,12943
EUR/CAD,2017-07-14,7,1.45334,1.4551,1.45226,1.45464,1.45341,1.45518,1.45236,1.45472,14413
EUR/CAD,2017-07-14,8,1.45464,1.45554,1.45272,1.4528,1.45472,1.45562,1.45283,1.45292,12159
EUR/CAD,2017-07-14,9,1.4528,1.45463,1.45189,1.45452,1.45292,1.4547,1.452,1.4546,14005
